iter	Passed	Remaining
0	11	209
1	29	266
2	39	226
3	57	230
4	75	226
5	87	205
6	104	194
7	121	182
8	139	170
9	157	157
10	175	143
11	193	128
12	210	113
13	227	97
14	244	81
15	265	66
16	282	49
17	301	33
18	320	16
19	338	0
