iter	Passed	Remaining
0	45	1793
1	79	1509
2	110	1361
3	140	1261
4	168	1182
5	197	1121
6	226	1068
7	255	1021
8	282	972
9	308	926
10	336	885
11	361	842
12	387	804
13	412	765
14	440	734
15	468	702
16	496	672
17	523	639
18	549	607
19	577	577
20	602	545
21	628	513
22	656	485
23	682	455
24	707	424
25	733	394
26	756	364
27	783	335
28	810	307
29	836	278
30	861	249
31	888	222
32	915	194
33	941	166
34	968	138
35	995	110
36	1022	82
37	1048	55
38	1078	27
39	1103	0
