iter	Logloss
0	0.6672342917
1	0.6442193292
2	0.6245443595
3	0.6065656594
4	0.5892322459
5	0.5732462114
6	0.5595995483
7	0.5478413122
8	0.5357240548
9	0.5254229527
10	0.5162463323
11	0.5083269468
12	0.499651787
13	0.4924188873
14	0.4859951251
15	0.4791395756
16	0.4736084161
17	0.4687208599
18	0.4643001151
19	0.4603958836
20	0.4564073164
21	0.4530023954
22	0.4495680099
23	0.4468376342
24	0.4436874456
25	0.4405820156
26	0.4385222118
27	0.4364515622
28	0.4347492494
29	0.4329673838
30	0.4307962724
31	0.4290864416
32	0.427049453
33	0.4253165989
34	0.4237821534
35	0.4222268635
36	0.4209508217
37	0.4195512206
38	0.4180416819
39	0.4167709743
40	0.4157624468
41	0.4143409485
42	0.4132893423
43	0.4125162478
44	0.4115048101
45	0.4107674795
46	0.4098931857
47	0.4090421648
48	0.4079323533
49	0.4070755946
50	0.4062918363
51	0.405604009
52	0.4048859102
53	0.404088968
54	0.4032688785
55	0.4026010046
56	0.4017553932
57	0.4012287097
58	0.4006741178
59	0.400154058
60	0.3995761579
61	0.3990533646
62	0.3984641241
63	0.3978962751
64	0.397209322
65	0.396624322
66	0.3961301422
67	0.3957332683
68	0.3952118161
69	0.3946518147
70	0.3941192512
71	0.3938143607
72	0.3933437218
73	0.3926077212
74	0.3921462284
75	0.3915826229
76	0.391062405
77	0.3907852778
78	0.3905101846
79	0.3901439071
80	0.3898607307
81	0.389520578
82	0.3891176686
83	0.3888262226
84	0.3885240313
85	0.3883025259
86	0.3879161808
87	0.3875914045
88	0.387302096
89	0.3870697224
90	0.3867249631
91	0.3865079587
92	0.3861264773
93	0.3858574326
94	0.3854907255
95	0.3851950945
96	0.3849807325
97	0.3847555785
98	0.3845379804
99	0.3843250193
100	0.3840100158
101	0.3836713969
102	0.3833991751
103	0.3829144291
104	0.3826827649
105	0.382490308
106	0.3823918461
107	0.3817479915
108	0.3815106968
109	0.3813149078
110	0.3811545111
111	0.3810230609
112	0.3808038272
113	0.380613535
114	0.3804644127
115	0.380240986
116	0.3800687369
117	0.3798096675
118	0.3796266764
119	0.3794297595
120	0.3790127211
121	0.3788716918
122	0.378720534
123	0.3785773665
124	0.3783805385
125	0.3782256103
126	0.3780338501
127	0.3778252257
128	0.3777118109
129	0.3768678692
130	0.3767165058
131	0.3765207287
132	0.3763521958
133	0.376176335
134	0.3760407329
135	0.3758915715
136	0.3756769167
137	0.375491753
138	0.3753315699
139	0.3749845689
140	0.374889594
141	0.3747375272
142	0.3745416735
143	0.3744321775
144	0.3742431385
145	0.3740802217
146	0.3738534463
147	0.3736256347
148	0.3734959541
149	0.3733947811
150	0.373244623
151	0.3731042327
152	0.3729047537
153	0.3727774594
154	0.3725767491
155	0.3723696932
156	0.3722370277
157	0.372094606
158	0.3719774061
159	0.3718826265
160	0.3717772123
161	0.3715147815
162	0.3713858357
163	0.3712418712
164	0.3710319928
165	0.3709224784
166	0.3708385103
167	0.3707017412
168	0.3704430642
169	0.3699058551
170	0.369779029
171	0.3696200576
172	0.369534839
173	0.3693637838
174	0.3692655512
175	0.3691154047
176	0.3689828286
177	0.368798247
178	0.3686793506
179	0.3685148252
180	0.3684164609
181	0.3683464627
182	0.3680283239
183	0.3678943768
184	0.3676355693
185	0.3675087812
186	0.3673730215
187	0.3671423195
188	0.3670791371
189	0.3669459657
190	0.3667945848
191	0.3667056286
192	0.3666577013
193	0.3665667059
194	0.3665026921
195	0.3663133134
196	0.3661282535
197	0.3660045667
198	0.365928793
199	0.3657355412
200	0.3652637092
201	0.3651812456
202	0.3650668354
203	0.3649360681
204	0.36480923
205	0.3646831147
206	0.3646102695
207	0.364483693
208	0.3643448968
209	0.364336354
210	0.3642873513
211	0.3641242983
212	0.3640579602
213	0.3637806258
214	0.3637062098
215	0.3636326274
216	0.3635521561
217	0.3634123642
218	0.3633060337
219	0.3631596676
220	0.3630726657
221	0.3629016096
222	0.3626335909
223	0.3625007659
224	0.3624031568
225	0.3622977953
226	0.3622259679
227	0.3621372091
228	0.3620620257
229	0.3619073118
230	0.3617609178
231	0.3615618119
232	0.361463649
233	0.3613775689
234	0.3612776698
235	0.3611857569
236	0.3610792251
237	0.3609957977
238	0.3608743552
239	0.3607961673
240	0.3607532085
241	0.3606605565
242	0.3605591554
243	0.3603878722
244	0.3602620875
245	0.3601709202
246	0.3600802686
247	0.3599905343
248	0.3599191897
249	0.359684093
250	0.3595967278
251	0.3594329473
252	0.3593372601
253	0.3592597243
254	0.3591849571
255	0.3590306527
256	0.3588315752
257	0.3586458516
258	0.3585541273
259	0.3584660136
260	0.358333955
261	0.3580399384
262	0.3578639867
263	0.3577056501
264	0.3576262455
265	0.3574801335
266	0.3573649835
267	0.357258497
268	0.3571076089
269	0.356994699
270	0.3568562834
271	0.3567168907
272	0.3566495494
273	0.3565877425
274	0.3564977112
275	0.3564156686
276	0.3562944345
277	0.3561844522
278	0.3559967951
279	0.3558100762
280	0.3556609257
281	0.35551998
282	0.3554231383
283	0.3553130286
284	0.3551511105
285	0.3550275195
286	0.3548276572
287	0.3547853854
288	0.3546903298
289	0.3544906
290	0.3542497582
291	0.3538239313
292	0.3536567756
293	0.3536057149
294	0.3534812185
295	0.3534004578
296	0.3533588166
297	0.3531919572
298	0.3530875216
299	0.3530352333
300	0.3529206685
301	0.3527849997
302	0.3526893677
303	0.3525205054
304	0.3523830493
305	0.3522736264
306	0.352213412
307	0.3520813912
308	0.3519721818
309	0.3518516234
310	0.351791735
311	0.3516840841
312	0.3515860667
313	0.3514701464
314	0.3513904015
315	0.3512916483
316	0.351167343
317	0.3508938397
318	0.3508092397
319	0.3506486594
320	0.3506247884
321	0.3505511975
322	0.3504588054
323	0.3502882252
324	0.3501888507
325	0.3500781318
326	0.3495923396
327	0.3495033535
328	0.3494002257
329	0.3492960958
330	0.3491693571
331	0.3490131855
332	0.3488880927
333	0.3488035572
334	0.3487165186
335	0.348325038
336	0.3481888751
337	0.3480655675
338	0.347981146
339	0.3478771619
340	0.3477867109
341	0.3475957991
342	0.3475076762
343	0.347375623
344	0.3472762949
345	0.3471263534
346	0.3470591284
347	0.3469178317
348	0.3468174843
349	0.3467064701
350	0.3466230772
351	0.3464787891
352	0.3463800016
353	0.3463080161
354	0.3462232566
355	0.3461332522
356	0.3459818258
357	0.3458979881
358	0.3455604995
359	0.3454544496
360	0.3453490002
361	0.3452607969
362	0.3451489014
363	0.3450496646
364	0.3449281072
365	0.3448329712
366	0.3447140871
367	0.3445849404
368	0.3444640895
369	0.3443490476
370	0.344246244
371	0.344001384
372	0.3437695847
373	0.3436720394
374	0.3435814313
375	0.343493211
376	0.3434186579
377	0.3433608459
378	0.3433334634
379	0.34324797
380	0.3431612398
381	0.3430478153
382	0.3429782355
383	0.342887499
384	0.342813172
385	0.3427357538
386	0.3425308754
387	0.3424621768
388	0.3423673937
389	0.34228529
390	0.3422167922
391	0.3421198926
392	0.3420530118
393	0.3419581517
394	0.3419051277
395	0.3417598373
396	0.341696787
397	0.3416035204
398	0.3415635456
399	0.3414828214
400	0.3413988428
401	0.3413056141
402	0.3412320772
403	0.3411271257
404	0.3410537291
405	0.3409349874
406	0.3408615075
407	0.3407760975
408	0.3407389749
409	0.3406050822
410	0.3405373454
411	0.3404699424
412	0.3403348924
413	0.3402695726
414	0.340234666
415	0.3401613441
416	0.3401073382
417	0.3400239776
418	0.3399604884
419	0.3398624511
420	0.3397877016
421	0.3396849974
422	0.33963195
423	0.3395649911
424	0.3394963458
425	0.3393507991
426	0.3392781033
427	0.3391967469
428	0.3390752828
429	0.3390196263
430	0.3389778234
431	0.3388979664
432	0.3388153969
433	0.3387265413
434	0.3386677433
435	0.3385814644
436	0.3385498935
437	0.3384702211
438	0.3383576119
439	0.3382327161
440	0.338138212
441	0.338071483
