iter	Passed	Remaining
169	3735	18237
170	3759	18225
171	3786	18228
172	3812	18225
173	3837	18218
174	3862	18208
175	3886	18197
176	3911	18188
177	3937	18183
178	3960	18166
179	3988	18167
180	4016	18175
181	4043	18171
182	4074	18188
183	4101	18191
184	4134	18212
185	4163	18222
186	4196	18245
187	4225	18251
188	4250	18238
189	4279	18244
190	4310	18259
191	4342	18272
192	4373	18285
193	4405	18305
194	4443	18344
195	4479	18375
196	4506	18368
197	4532	18357
198	4558	18346
199	4583	18333
200	4608	18319
201	4640	18333
202	4668	18327
203	4693	18315
204	4719	18302
205	4745	18290
206	4772	18284
207	4799	18274
208	4821	18247
209	4837	18196
210	4858	18166
211	4882	18146
212	4902	18113
213	4923	18084
214	4952	18080
215	4978	18068
216	5001	18045
217	5022	18016
218	5045	17993
219	5072	17984
220	5107	18001
221	5141	18020
222	5172	18023
223	5201	18018
224	5234	18030
225	5265	18031
226	5293	18025
227	5319	18010
228	5348	18007
229	5368	17973
230	5390	17944
231	5416	17928
232	5437	17899
233	5458	17867
234	5480	17840
235	5501	17809
236	5524	17785
237	5545	17755
238	5567	17728
239	5588	17696
240	5608	17662
241	5634	17649
242	5658	17626
243	5678	17592
244	5699	17565
245	5720	17533
246	5740	17501
247	5761	17471
248	5784	17446
249	5804	17414
250	5825	17384
251	5847	17358
252	5868	17327
253	5890	17299
254	5909	17266
255	5931	17239
256	5952	17209
257	5974	17183
258	5996	17156
259	6017	17127
260	6040	17103
261	6061	17073
262	6083	17047
263	6103	17016
264	6124	16986
265	6146	16959
266	6167	16932
267	6201	16939
268	6240	16959
269	6263	16933
270	6285	16907
271	6310	16888
272	6330	16856
273	6350	16826
274	6370	16795
275	6391	16765
276	6412	16737
277	6433	16707
278	6456	16684
279	6477	16656
280	6499	16630
281	6521	16603
282	6540	16571
283	6561	16541
284	6583	16515
285	6604	16487
286	6635	16483
287	6661	16468
288	6683	16442
289	6704	16414
290	6725	16385
291	6745	16356
292	6767	16329
293	6787	16299
294	6811	16277
295	6831	16247
296	6850	16215
297	6871	16187
298	6894	16163
299	6914	16133
300	6934	16103
301	6957	16080
302	6978	16052
303	7000	16026
304	7022	16001
305	7044	15977
306	7064	15947
307	7085	15919
308	7109	15898
309	7131	15873
310	7155	15852
311	7177	15826
312	7198	15800
313	7219	15772
314	7239	15743
315	7260	15715
316	7282	15690
317	7302	15660
318	7323	15634
319	7343	15605
320	7362	15574
321	7383	15546
322	7404	15520
323	7425	15492
324	7447	15467
325	7467	15439
326	7489	15413
327	7509	15386
328	7530	15358
329	7551	15332
330	7572	15305
331	7594	15280
332	7615	15252
333	7638	15231
334	7662	15210
335	7683	15184
336	7703	15156
337	7725	15130
338	7745	15103
339	7767	15077
340	7788	15051
341	7808	15024
342	7829	14996
343	7850	14970
344	7871	14943
345	7893	14919
346	7914	14894
347	7935	14867
348	7956	14841
349	7977	14815
350	7997	14788
351	8019	14763
352	8040	14736
353	8067	14721
354	8094	14706
355	8120	14690
356	8145	14671
357	8173	14657
358	8195	14632
359	8215	14605
360	8235	14578
361	8256	14551
362	8278	14526
363	8298	14499
364	8319	14473
365	8340	14448
366	8362	14423
367	8383	14396
368	8404	14371
369	8424	14344
370	8445	14319
371	8466	14293
372	8486	14265
373	8508	14240
374	8529	14216
375	8551	14191
376	8572	14166
377	8595	14144
378	8618	14122
379	8646	14107
380	8667	14082
381	8690	14060
382	8711	14033
383	8731	14007
384	8752	13981
385	8772	13954
386	8793	13928
387	8813	13902
388	8834	13876
389	8855	13850
390	8875	13823
391	8897	13799
392	8917	13773
393	8938	13747
394	8958	13720
395	8979	13695
396	8999	13669
397	9020	13643
398	9039	13615
399	9060	13590
400	9082	13566
401	9105	13545
402	9131	13527
403	9157	13509
404	9182	13489
405	9207	13471
406	9232	13452
407	9253	13426
408	9273	13399
409	9294	13375
410	9319	13355
411	9347	13341
412	9373	13322
413	9401	13307
414	9425	13286
415	9452	13269
416	9473	13245
417	9494	13219
418	9514	13192
419	9534	13166
420	9555	13141
421	9577	13118
422	9598	13092
423	9617	13065
424	9639	13041
425	9664	13022
426	9686	12998
427	9706	12972
428	9727	12947
429	9748	12921
430	9767	12895
431	9789	12871
432	9810	12846
433	9830	12820
434	9850	12794
435	9871	12769
436	9890	12742
437	9912	12718
438	9933	12693
439	9954	12669
440	9975	12644
441	9994	12617
442	10015	12593
443	10035	12567
444	10056	12542
445	10077	12518
446	10098	12493
447	10119	12468
448	10140	12444
449	10161	12419
450	10181	12393
451	10204	12371
452	10224	12346
453	10245	12321
454	10266	12297
455	10287	12272
456	10307	12247
457	10328	12222
458	10348	12196
459	10369	12173
460	10390	12148
461	10410	12123
462	10431	12098
463	10451	12073
464	10472	12048
465	10491	12022
466	10511	11997
467	10531	11972
468	10552	11947
469	10572	11922
470	10593	11897
471	10613	11872
472	10633	11847
473	10660	11829
474	10680	11805
475	10705	11784
476	10727	11762
477	10747	11736
478	10767	11712
479	10788	11687
480	10809	11663
481	10830	11639
482	10850	11614
483	10871	11590
484	10892	11566
485	10913	11542
486	10934	11517
487	10954	11493
488	10975	11468
489	10995	11444
490	11016	11420
491	11036	11395
492	11057	11371
493	11077	11346
494	11098	11322
495	11118	11297
496	11138	11273
497	11158	11248
498	11178	11223
499	11197	11197
500	11217	11173
501	11237	11148
502	11257	11123
503	11279	11100
504	11299	11076
505	11320	11052
506	11342	11029
507	11363	11005
508	11384	10981
509	11405	10957
510	11424	10933
511	11445	10909
512	11466	10885
513	11500	10874
514	11528	10857
515	11560	10843
516	11601	10838
517	11633	10825
518	11666	10812
519	11715	10814
520	11758	10810
521	11779	10786
522	11800	10763
523	11822	10739
524	11843	10715
525	11863	10690
526	11884	10667
527	11907	10644
528	11930	10622
529	11951	10598
530	11971	10574
531	11992	10549
532	12013	10525
533	12033	10501
534	12054	10476
535	12074	10452
536	12094	10427
537	12118	10406
538	12138	10382
539	12159	10357
540	12179	10333
541	12200	10309
542	12221	10286
543	12241	10260
544	12259	10235
545	12281	10211
546	12302	10188
547	12322	10164
548	12344	10140
549	12364	10116
550	12385	10092
551	12406	10069
552	12427	10045
553	12448	10021
554	12468	9996
555	12488	9973
556	12509	9949
557	12529	9924
558	12549	9900
559	12571	9877
560	12591	9853
561	12612	9829
562	12633	9805
563	12657	9784
564	12680	9762
565	12700	9738
566	12721	9715
567	12742	9691
568	12765	9669
569	12786	9645
570	12807	9622
571	12827	9598
572	12848	9574
573	12867	9549
574	12887	9525
575	12908	9502
576	12929	9478
577	12949	9454
578	12968	9429
579	12993	9408
580	13015	9386
581	13041	9366
582	13066	9345
583	13086	9321
584	13106	9297
585	13127	9274
586	13147	9250
587	13168	9227
588	13189	9203
589	13210	9179
590	13230	9156
591	13251	9132
592	13272	9109
593	13292	9085
594	13313	9062
595	13333	9038
596	13354	9015
597	13373	8990
598	13393	8966
599	13414	8942
600	13434	8919
601	13455	8895
602	13476	8872
603	13497	8849
604	13517	8825
605	13538	8802
606	13559	8779
607	13579	8755
608	13598	8730
609	13619	8707
610	13640	8684
611	13667	8664
612	13688	8641
613	13708	8617
614	13727	8593
615	13750	8571
616	13771	8548
617	13792	8525
618	13815	8503
619	13836	8480
620	13856	8456
621	13877	8433
622	13896	8409
623	13918	8386
624	13939	8363
625	13959	8340
626	13981	8317
627	14001	8293
628	14021	8270
629	14042	8247
630	14063	8223
631	14083	8200
632	14103	8176
633	14123	8153
634	14144	8130
635	14165	8107
636	14185	8083
637	14206	8061
638	14228	8038
639	14248	8014
640	14268	7991
641	14288	7967
642	14307	7943
643	14329	7921
644	14349	7897
645	14371	7875
646	14392	7852
647	14413	7829
648	14433	7805
649	14453	7782
650	14473	7759
651	14493	7735
652	14513	7712
653	14535	7689
654	14555	7666
655	14576	7643
656	14597	7620
657	14618	7597
658	14638	7574
659	14662	7553
660	14685	7531
661	14706	7508
662	14728	7486
663	14748	7463
664	14768	7439
665	14791	7417
666	14811	7394
667	14830	7370
668	14851	7348
669	14872	7325
670	14893	7302
671	14914	7279
672	14935	7256
673	14955	7233
674	14977	7211
675	14998	7188
676	15021	7166
677	15042	7143
678	15061	7120
679	15082	7097
680	15102	7074
681	15123	7051
682	15143	7028
683	15164	7005
684	15184	6982
685	15204	6959
686	15229	6938
687	15250	6915
688	15270	6892
689	15291	6870
690	15315	6848
691	15337	6826
692	15359	6804
693	15381	6781
694	15400	6758
695	15421	6735
696	15442	6713
697	15463	6690
698	15483	6667
699	15504	6644
700	15523	6621
701	15544	6598
702	15563	6575
703	15585	6552
704	15606	6530
705	15626	6507
706	15647	6484
707	15674	6464
708	15694	6441
709	15716	6419
710	15737	6396
711	15757	6373
712	15780	6352
713	15807	6331
714	15833	6311
715	15859	6290
716	15885	6270
717	15912	6249
718	15938	6228
719	15964	6208
720	15991	6187
721	16018	6167
722	16043	6146
723	16069	6125
724	16096	6105
725	16121	6084
726	16147	6063
727	16174	6043
728	16198	6021
729	16225	6001
730	16251	5980
731	16277	5959
732	16304	5939
733	16330	5918
734	16356	5897
735	16384	5876
736	16410	5856
737	16438	5835
738	16464	5815
739	16491	5794
740	16516	5773
741	16543	5752
742	16569	5731
743	16594	5709
744	16621	5689
745	16649	5668
746	16686	5651
747	16715	5631
748	16736	5608
749	16757	5585
750	16777	5562
751	16800	5540
752	16820	5517
753	16842	5494
754	16862	5471
755	16881	5448
756	16902	5425
757	16924	5403
758	16944	5380
759	16965	5357
760	16985	5334
761	17006	5311
762	17026	5288
763	17046	5265
764	17067	5243
765	17087	5220
766	17106	5196
767	17128	5174
768	17148	5151
769	17169	5128
770	17190	5105
771	17211	5083
772	17232	5060
773	17252	5037
774	17272	5014
775	17294	4992
776	17316	4969
777	17335	4946
778	17356	4923
779	17379	4901
780	17403	4880
781	17424	4857
782	17445	4834
783	17465	4812
784	17486	4789
785	17506	4766
786	17527	4743
787	17547	4720
788	17568	4698
789	17589	4675
790	17609	4652
791	17631	4630
792	17652	4607
793	17680	4587
794	17701	4564
795	17723	4542
796	17744	4519
797	17764	4496
798	17785	4474
799	17806	4451
800	17828	4429
801	17849	4406
802	17868	4383
803	17888	4360
804	17907	4337
805	17929	4315
806	17950	4292
807	17970	4270
808	17991	4247
809	18013	4225
810	18033	4202
811	18053	4179
812	18074	4157
813	18096	4134
814	18116	4112
815	18138	4090
816	18158	4067
817	18178	4044
818	18197	4021
819	18219	3999
820	18241	3977
821	18262	3954
822	18282	3932
823	18303	3909
824	18325	3887
825	18346	3864
826	18368	3842
827	18389	3820
828	18408	3797
829	18428	3774
830	18448	3751
831	18468	3729
832	18488	3706
833	18509	3684
834	18529	3661
835	18549	3638
836	18570	3616
837	18589	3593
838	18609	3571
839	18631	3548
840	18651	3526
841	18674	3504
842	18698	3482
843	18719	3459
844	18740	3437
845	18760	3415
846	18780	3392
847	18801	3370
848	18823	3347
849	18844	3325
850	18865	3303
851	18885	3280
852	18906	3258
853	18928	3236
854	18950	3213
855	18971	3191
856	18991	3168
857	19011	3146
858	19031	3123
859	19053	3101
860	19074	3079
861	19094	3056
862	19113	3034
863	19134	3011
864	19154	2989
865	19175	2967
866	19196	2944
867	19217	2922
868	19239	2900
869	19260	2878
870	19281	2855
871	19301	2833
872	19321	2810
873	19342	2788
874	19367	2766
875	19387	2744
876	19408	2722
877	19428	2699
878	19448	2677
879	19469	2654
880	19490	2632
881	19510	2610
882	19531	2588
883	19552	2565
884	19573	2543
885	19594	2521
886	19614	2498
887	19635	2476
888	19655	2454
889	19677	2432
890	19699	2409
891	19719	2387
892	19741	2365
893	19762	2343
894	19783	2320
895	19804	2298
896	19827	2276
897	19848	2254
898	19868	2232
899	19889	2209
900	19909	2187
901	19931	2165
902	19951	2143
903	19971	2120
904	19991	2098
905	20011	2076
906	20031	2053
907	20052	2031
908	20072	2009
909	20093	1987
910	20113	1964
911	20134	1942
912	20155	1920
913	20175	1898
914	20196	1876
915	20217	1853
916	20238	1831
917	20259	1809
918	20280	1787
919	20301	1765
920	20322	1743
921	20342	1720
922	20363	1698
923	20383	1676
924	20404	1654
925	20425	1632
926	20447	1610
927	20466	1587
928	20488	1565
929	20508	1543
930	20529	1521
931	20550	1499
932	20569	1477
933	20590	1454
934	20610	1432
935	20630	1410
936	20651	1388
937	20671	1366
938	20698	1344
939	20717	1322
940	20740	1300
941	20761	1278
942	20781	1256
943	20801	1233
944	20822	1211
945	20843	1189
946	20863	1167
947	20884	1145
948	20904	1123
949	20924	1101
950	20944	1079
951	20964	1057
952	20984	1034
953	21005	1012
954	21024	990
955	21045	968
956	21065	946
957	21085	924
958	21106	902
959	21127	880
960	21147	858
961	21168	836
962	21188	814
963	21210	792
964	21230	770
965	21258	748
966	21280	726
967	21299	704
968	21319	682
969	21341	660
970	21361	637
971	21382	615
972	21403	593
973	21423	571
974	21444	549
975	21465	527
976	21486	505
977	21507	483
978	21527	461
979	21548	439
980	21569	417
981	21590	395
982	21611	373
983	21630	351
984	21651	329
985	21676	307
986	21704	285
987	21727	263
988	21749	241
989	21769	219
990	21791	197
991	21812	175
992	21834	153
993	21857	131
994	21877	109
995	21897	87
996	21918	65
997	21943	43
998	21964	21
999	21985	0
